author_did,has_mentions_in_bio,has_mentions_in_first_post,has_url_in_bio,has_url_in_first_post
did:plc:25uhpqewvsm4rrikfifiodpj,False,False,False,False
did:plc:25wik2ghzpqnmjcojlm5e2bv,False,False,False,False
did:plc:25xawumvjmehxwq65liffsp7,False,False,False,False
did:plc:25z5d2qf4yvccyjj5z3uxy2s,False,False,False,False
did:plc:25zrllablzxyz73u5xcgdqb6,False,False,False,False
did:plc:2626ber2lqggicant3larusc,False,True,False,False
did:plc:266nlwienp2k57elnv4nb74z,True,True,False,False
did:plc:267gk63q3nctbw35d4qdyc5x,False,False,False,False
did:plc:26acnobx6p4i7hs2pxchvsnc,False,False,False,False
did:plc:26ctyf7l3ps632bherwfkcyb,False,False,False,False
did:plc:26czq5wt27kpqwtntxdzbqfi,False,False,False,False
did:plc:26egrz3yparsu2k3s4xppzqk,False,False,False,False
did:plc:26gfa6p5whufmrnto4iqsauy,False,False,False,False
did:plc:26gyq2ufcswggf5yb5ol5r33,False,False,False,False
did:plc:26ikqrmp3kaexk6zh2kfat54,False,False,False,False
did:plc:26imleklccm3rhxnnhvrgfax,False,False,False,False
did:plc:26op7qpcxcdgrj6kfc6yki4b,False,False,False,False
did:plc:26q3fatxuqhehqbcg5l6nolw,False,False,False,False
did:plc:26qnrmv4rvj2yer3ousj3njy,False,False,False,False
did:plc:26qzw4sy4mmrgtsrnda4isnv,False,False,False,False
did:plc:26umutp5ezmc6trgfbbega5c,True,False,False,False
did:plc:26w5bdicfgh4bcfkfyjcjkdp,False,False,False,False
did:plc:26wz2xpe25htbxkxkij3kbsz,False,False,False,False
did:plc:26yksgrm2ik5zixmulfwms56,False,False,False,False
did:plc:2734eqdf4pmnlcnoyzse6p3s,False,False,False,False
did:plc:273gpt3clmqm4aboggv5vqq7,False,False,False,False
did:plc:276koi6ux5yprbx7vq6vmx3r,False,False,False,False
did:plc:277xepw5ajhghc6ot6c5ybus,False,False,False,False
did:plc:277z7oz767lcqgm2we54usca,True,False,False,False
did:plc:27ar3deiilzltbvajlui6x6u,False,False,False,False
did:plc:27ctw6epmprakqsoqjuxs53z,False,False,False,False
did:plc:27di4ko5wrzsamoekykzmifc,False,False,False,False
did:plc:27fxqfnalyltosz7si3nkjox,True,False,False,False
did:plc:27le5cutav3gbyzgmpovd2k4,False,False,False,False
did:plc:27p5vrhuvecsijlyhe6n7rot,False,False,False,False
did:plc:27sct3cpj4bbkgoek7tudrwu,True,False,False,False
did:plc:27senfjiohceeg3zikkhvh32,False,False,False,False
did:plc:27t5dcg3nnv3dbraonf45woh,False,False,False,False
did:plc:27td5xdkw27ljixt62hvjtgp,False,False,False,False
did:plc:27vrhkvw2oszs2nuwmgrv2qy,False,False,False,False
did:plc:27w6uqouz6bnc3byly7ugzmf,False,False,False,False
did:plc:27w7ydu4wk5roxmhqhxw2zjh,False,False,False,False
did:plc:27whpfn6fj6ud4j22brqa2mg,False,False,False,False
did:plc:27wl2uadjxag5hmkz7tyxy7k,False,False,False,False
did:plc:27zro4vnnsft64eidkyrlaip,False,False,False,False
did:plc:27zvv2ufezelxoedirbjd6gg,False,False,False,False
did:plc:2a2zixblzy3cguuz23ajxzkf,True,False,False,False
did:plc:2a3cmtteolppg74cixawo2ns,False,False,False,False
did:plc:2a5fxwszqccptqmpj2oyqdo5,False,False,False,False
did:plc:2a5q3t4pgk3zhctyf4uxlhel,True,False,False,False
did:plc:2a6467lkgeow52scdgvrlhej,False,False,False,False
did:plc:2abipfrqr6eqtizsywmpqpe2,False,False,False,False
did:plc:2aeyklazrklipvpwejpigc6b,True,True,False,False
did:plc:2agah6f4mstjpeney5lujnj5,False,False,False,False
did:plc:2ahkutsbnxqjlzc5wb473ehs,False,False,False,False
did:plc:2amfb6qpbabshk6zqd65zjpy,False,False,False,False
did:plc:2amqgcf7jucantqe5ox7hze7,False,False,False,False
did:plc:2an6lgk6mjcpxotw2xiq3zzc,False,False,False,False
did:plc:2aoeijymtuzbcgmvwkmwjatk,False,False,False,False
did:plc:2ap7xtr3kq2hbrtnhf2nrjcp,False,False,False,False
did:plc:2aqxwjb7sjjsrxvumkarj75k,False,False,False,False
did:plc:2atnpkz4ricsbyznx3s42opz,False,False,False,False
did:plc:2atvapcw3pc5jpbxvoywejsw,False,True,False,False
did:plc:2axbrkpbr2aopqqtkzo3ahlp,False,False,False,False
did:plc:2az2slcnhcpcq7s6v7tdywvo,True,False,False,False
did:plc:2b4mrymq27aexcjybugbc6kg,False,False,False,False
did:plc:2b4tsqp7a47hhyk3weki7epo,False,False,False,False
did:plc:2b5b6n5w6zjxziyrp46j3ysp,False,False,False,False
did:plc:2barbff7p4hf5xylaet5pgys,False,False,False,False
did:plc:2bdfv2evq7zgphz3k4uijf4a,False,False,False,False
did:plc:2bejacqnlm36xsrjvwzzxk2g,False,False,False,False
did:plc:2beqnmkrj7ntt5aluh3uhbe4,False,False,False,False
did:plc:2bhca7upmtx6xwzbbiahfpl4,False,False,False,False
